,repository,lines_of_code,cyclomatic_complexity,tlag,deps_depth
333,https://github.com/okonet/lint-staged,3057,1228,344,10.0
334,https://github.com/fishbar/jscoverage,2073,866,2020,8.0
335,https://github.com/avajs/eslint-plugin-ava,4477,1395,663,10.0
336,https://github.com/discordjs/discord.js,18888,6121,140,10.0
337,https://github.com/calvinmetcalf/rollup-plugin-node-globals,507,255,754,11.0
338,https://github.com/twbs/bootstrap,39746,20284,270,9.0
339,https://github.com/sindresorhus/del,178,89,743,10.0
340,https://github.com/kimmobrunfeldt/chokidar-cli,406,193,1380,9.0
341,https://github.com/gulpjs/fancy-log,269,183,133,7.0
342,https://github.com/substack/text-table,243,108,2131,5.0
343,https://github.com/nickmerwin/node-coveralls,1996,1010,655,8.0
344,https://github.com/visionmedia/connect-redis,614,344,696,6.0
345,https://github.com/jprichardson/node-fs-extra,9416,6012,399,8.0
346,https://github.com/ALMaclaine/replace,659,283,398,7.0
347,https://github.com/babel/babel-loader,1617,601,415,9.0
348,https://github.com/nuysoft/Mock,19697,4744,1615,11.0
349,https://github.com/Unitech/pm2,28009,13244,291,9.0
350,https://github.com/zenorocha/clipboard.js,1785,900,601,9.0
351,https://github.com/mlucool/gulp-jsdoc3,474,216,865,11.0
352,https://github.com/tjunnone/npm-check-updates,2982,1350,520,10.0
353,https://github.com/webpack-contrib/script-loader,51,20,1482,9.0
354,https://github.com/feross/safe-buffer,163,87,989,8.0
355,https://github.com/karma-runner/karma-chrome-launcher,541,238,784,11.0
356,https://github.com/chartjs/Chart.js,40212,16487,307,9.0
357,https://github.com/apollographql/graphql-tools,50,8,296,10.0
358,https://github.com/defunctzombie/zuul,18961,8104,1122,11.0
359,https://github.com/evcohen/eslint-plugin-jsx-a11y,12195,2741,307,9.0
360,https://github.com/sindresorhus/gulp-zip,297,157,1704,10.0
361,https://github.com/prettier/eslint-config-prettier,1103,373,696,13.0
362,https://github.com/shama/webpack-stream,562,293,439,10.0
363,https://github.com/shama/gulp-webpack,562,293,439,10.0
364,https://github.com/substack/node-mkdirp,596,442,1136,7.0
365,https://github.com/contra/gulp-concat,299,155,950,11.0
366,https://github.com/isaacs/node-touch,933,585,1951,10.0
367,https://github.com/webpack/webpack-cli,5244,2426,262,10.0
368,https://github.com/gulp-sourcemaps/gulp-sourcemaps,2312,1157,899,11.0
369,https://github.com/prettier/eslint-plugin-prettier,441,187,437,8.0
370,https://github.com/karma-runner/karma-mocha,1170,578,1019,11.0
371,https://github.com/reactivex/rxjs,13748,6939,261,9.0
372,https://github.com/coolme200/webstorm-disable-index,405,269,826,11.0
373,https://github.com/dreamerslab/node.inflection,1357,488,803,5.0
374,https://github.com/domenic/opener,76,43,1450,6.0
375,https://github.com/npm/validate-npm-package-name,214,101,740,10.0
376,https://github.com/node-modules/detect-port,359,189,851,11.0
377,https://github.com/contra/gulp-cached,229,149,879,5.0
378,https://github.com/nathanboktae/mocha-phantomjs,264,132,1329,5.0
379,https://github.com/isaacs/read,329,166,1422,7.0
380,https://github.com/gulpjs/gulp-cli,4832,2722,814,9.0
381,https://github.com/browserify/browserify,6557,4333,460,10.0
382,https://github.com/sindresorhus/slash,28,16,2085,10.0
383,https://github.com/webpack-contrib/grunt-webpack,1065,542,749,9.0
384,https://github.com/erikras/redux-form,45699,14543,379,9.0
385,https://github.com/sass/node-sass,6733,2895,357,7.0
386,https://github.com/webpack-contrib/style-loader,2023,917,557,11.0
387,https://github.com/gulpjs/gulp-util,859,569,1510,6.0
388,https://github.com/visionmedia/bytes.js,424,260,189,8.0
389,https://github.com/ljharb/object.assign,538,353,0,8.0
390,https://github.com/indutny/elliptic,17983,10134,1157,11.0
391,https://github.com/debitoor/chai-subset,303,86,925,6.0
392,https://github.com/sindresorhus/user-home,11,11,1185,5.0
393,https://github.com/TypeStrong/tsify,1684,921,497,10.0
394,https://github.com/gruntjs/grunt-contrib-concat,780,416,1352,10.0
395,https://github.com/59naga/babel-plugin-add-module-exports,586,177,1061,10.0
396,https://github.com/gruntjs/grunt-contrib-uglify,1060,388,474,11.0
397,https://github.com/sindresorhus/meow,377,156,36,10.0
398,https://github.com/observing/pre-commit,744,425,306,5.0
399,https://github.com/chrisdickinson/raf,143,75,1308,6.0
400,https://github.com/indexzero/http-server,301,109,225,12.0
401,https://github.com/jsdoc3/jsdoc,34275,17302,634,11.0
